area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,0,Other,3,Other,1752,3,2.0,105.0
Plot  Area,0,Other,4,Other,1200,3,2.0,120.0
Plot  Area,0,Other,5,Other,1200,5,1.0,200.0
Super built-up  Area,0,Old Madras Road,3,Other,1480,2,2.0,84.0
Plot  Area,0,Other,3,Other,600,4,1.0,81.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1826,3,2.0,130.0
Super built-up  Area,0,8th Phase JP Nagar,2,Other,1035,2,1.0,39.33
Built-up  Area,0,Sarjapur  Road,4,Other,2600,4,2.0,98.0
Built-up  Area,0,Kasavanhalli,3,Other,1667,3,2.0,92.0
Super built-up  Area,0,Thanisandra,2,Bhmesy ,934,2,2.0,55.0
Super built-up  Area,0,Other,3,Other,1620,2,1.0,76.0
Super built-up  Area,6,Electronic City,2,GMown E,1070,2,1.0,47.0
Built-up  Area,0,Other,5,Other,3600,5,3.0,180.0
Super built-up  Area,4,Uttarahalli,3,Other,1280,2,2.0,60.0
Super built-up  Area,0,Other,2,Other,1400,2,2.0,60.0
Plot  Area,0,Other,7,Other,1200,8,2.0,180.0
Built-up  Area,0,Other,2,Other,1330,2,1.0,64.0
Super built-up  Area,12,Other,2,Soresea,1012,2,1.0,54.59
Super built-up  Area,12,Electronic City Phase II,3,Other,1611,2,2.0,48.33
Super built-up  Area,0,Whitefield,3,Other,1405,3,2.0,58.0
Super built-up  Area,0,Other,3,Other,1515,3,3.0,90.0
Super built-up  Area,0,Thigalarapalya,3,Prtanha,1830,4,2.0,150.0
Built-up  Area,0,Kaggadasapura,3,Other,1710,3,0.0,60.0
Built-up  Area,0,Other,2,Other,935,2,1.0,51.5
Super built-up  Area,4,Jakkur,3,Other,2197,3,2.0,136.0
Plot  Area,0,TC Palaya,4,Other,600,4,0.0,65.0
Super built-up  Area,0,Yeshwanthpur,3,IBityin,1678,3,2.0,92.13
Built-up  Area,0,Other,3,Other,1410,2,0.0,80.0
Super built-up  Area,0,Jakkur,2,Other,1125,2,2.0,65.0
Super built-up  Area,0,Other,3,Other,1191,2,1.0,55.38
Super built-up  Area,0,Other,2,Other,1200,2,2.0,79.0
Super built-up  Area,0,Other,3,Other,1525,2,3.0,67.0
Super built-up  Area,0,Other,3,Other,1464,3,3.0,56.0
Super built-up  Area,12,Other,2,Other,920,2,1.0,27.0
Built-up  Area,0,Yelahanka,1,Other,651,1,1.0,17.5
Super built-up  Area,0,Other,2,Other,600,1,2.0,25.0
Super built-up  Area,9,Chandapura,1,SunceEs,645,1,1.0,16.45
Super built-up  Area,0,Thanisandra,2,MenueNo,1185,2,2.0,44.0
Super built-up  Area,5,Electronics City Phase 1,2,Other,1190,2,1.0,68.0
Super built-up  Area,12,Whitefield,4,Prtates,2856,5,0.0,158.5
Super built-up  Area,0,Whitefield,2,Other,1355,2,3.0,73.0
Plot  Area,0,KR Puram,2,Other,1200,1,0.0,65.0
Plot  Area,0,Ramamurthy Nagar,6,Other,1200,4,1.0,110.0
Super built-up  Area,0,Other,1,Other,500,2,1.0,24.0
Super built-up  Area,0,Other,3,Other,1250,3,3.0,50.0
Built-up  Area,0,Uttarahalli,3,Other,1480,2,1.0,58.0
Built-up  Area,0,Other,4,Other,3300,4,2.0,329.0
Super built-up  Area,5,KR Puram,3,Other,1583,2,2.0,70.445
Super built-up  Area,0,Other,2,Other,1206,2,1.0,53.0
Super built-up  Area,8,Rajaji Nagar,2,Other,1357,2,1.0,130.0
Built-up  Area,0,Other,2,Other,925,2,1.0,46.5
Super built-up  Area,0,8th Phase JP Nagar,2,Other,909,2,1.0,40.9
Plot  Area,0,Other,3,Other,3000,5,2.0,335.0
Built-up  Area,0,Other,2,Other,1100,2,1.0,55.0
Plot  Area,5,Malleshwaram,4,Other,3000,5,2.0,815.0
Super built-up  Area,0,Other,2,Other,1100,2,1.0,54.0
Super built-up  Area,0,Other,2,Other,975,2,1.0,65.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1306,2,2.0,44.17
Plot  Area,0,Other,4,Other,1200,4,1.0,95.0
Super built-up  Area,0,Other,1,Other,610,1,1.0,39.0
Super built-up  Area,0,Yelahanka,3,Other,1484,2,2.0,56.4
Super built-up  Area,5,Ramamurthy Nagar,2,Other,1125,2,1.0,47.0
Super built-up  Area,7,Other,2,Rosha I,1447,2,1.0,75.97
Super built-up  Area,12,Whitefield,4,Prtates,2882,5,1.0,158.0
Plot  Area,0,Other,4,Other,750,4,0.0,88.0
Super built-up  Area,0,Other,3,Other,2075,3,1.0,115.0
Built-up  Area,0,Other,2,Other,1250,2,1.0,58.0
Super built-up  Area,0,Other,2,Other,1272,2,2.0,51.5
Plot  Area,0,Other,4,Other,1050,3,2.0,125.0
Super built-up  Area,8,Other,2,Other,625,2,1.0,24.0
Built-up  Area,0,Other,1,Other,840,2,2.0,50.0
Super built-up  Area,0,Hennur Road,4,Other,2502,4,2.0,180.0
Super built-up  Area,0,Other,1,Other,583,1,1.0,26.9
Super built-up  Area,12,Other,2,Other,900,2,1.0,27.0
Super built-up  Area,0,Sarjapur  Road,2,Other,1115,2,2.0,50.0
Super built-up  Area,0,Other,2,Other,1464,2,2.0,56.0
Built-up  Area,3,Other,3,Other,2200,3,1.0,121.0
Super built-up  Area,12,Whitefield,1,Other,750,1,1.0,51.0
Super built-up  Area,0,Marathahalli,3,Other,1600,3,3.0,58.0
Super built-up  Area,0,Other,3,Other,1365,2,2.0,49.0
Built-up  Area,12,Other,3,Other,1300,3,2.0,64.0
Built-up  Area,0,Other,1,Other,1200,1,0.0,69.0
Super built-up  Area,0,Hormavu,2,Other,1260,2,2.0,35.0
Super built-up  Area,0,Electronics City Phase 1,2,Other,1190,2,2.0,33.92
Super built-up  Area,0,Other,3,Other,2480,4,1.0,260.0
Super built-up  Area,5,Other,3,Other,1250,3,2.0,38.0
Built-up  Area,0,Kaggadasapura,3,Other,1500,3,0.0,75.0
Super built-up  Area,0,Other,3,Other,1510,3,3.0,47.57
Super built-up  Area,1,7th Phase JP Nagar,2,Other,1187,2,1.0,59.0
Super built-up  Area,0,Other,2,Other,1120,2,1.0,53.76
Super built-up  Area,12,Whitefield,2,Other,1115,2,0.0,34.555
Super built-up  Area,0,Other,3,Other,1717,3,3.0,99.0
Built-up  Area,0,Other,3,Other,2099,3,2.0,95.0
Super built-up  Area,0,Other,2,Other,1100,2,2.0,58.0
Plot  Area,0,Other,1,Other,1200,1,0.0,48.0
Built-up  Area,0,Bannerghatta Road,3,Other,1465,2,1.0,45.87
Plot  Area,0,Kothanur,1,Other,1500,1,0.0,75.0
Plot  Area,0,Other,5,Other,4050,4,1.0,600.0
Super built-up  Area,0,Haralur Road,3,Other,1255,2,1.0,90.0
Super built-up  Area,0,Other,2,Other,1220,2,3.0,88.0
Built-up  Area,8,Electronic City Phase II,2,Sryalan,1065,2,1.0,30.88
Built-up  Area,0,Other,3,Other,1765,3,3.0,80.0
Super built-up  Area,0,Bellandur,2,Other,1281,2,2.0,87.0
Super built-up  Area,0,Electronic City,2,Other,1210,2,2.0,25.0
Carpet  Area,0,Kaggadasapura,2,Other,1215,2,3.0,43.0
Plot  Area,0,Other,4,Other,1200,3,1.0,87.0
Super built-up  Area,0,Mysore Road,2,Other,1237,2,2.0,73.0
Super built-up  Area,0,Other,2,Other,1300,2,1.0,70.0
Super built-up  Area,0,Whitefield,2,Other,1105,2,2.0,39.99
Super built-up  Area,0,Chandapura,3,Other,1505,2,2.0,42.0
Super built-up  Area,0,Other,4,Other,3900,5,2.0,310.0
Built-up  Area,0,Banashankari,2,Other,1186,2,3.0,65.0
Plot  Area,0,Other,4,Other,900,3,1.0,51.0
Super built-up  Area,0,Kengeri,2,Other,750,2,1.0,35.5
Built-up  Area,0,Varthur,2,Other,1083,2,2.0,28.0
Built-up  Area,0,Other,3,Other,1430,2,1.0,78.65
Super built-up  Area,0,Thanisandra,2,Bhmesy ,1056,2,2.0,68.0
Super built-up  Area,0,Other,3,Other,2108,3,3.0,85.0
Super built-up  Area,0,Banashankari,3,Other,1650,3,2.0,101.0
Built-up  Area,7,Electronic City Phase II,3,Sryalan,1220,3,1.0,36.6
Super built-up  Area,0,Other,2,Other,1198,2,1.0,54.0
Super built-up  Area,0,Other,2,Other,1190,2,1.0,70.0
Built-up  Area,12,Other,2,Other,900,2,1.0,41.0
Super built-up  Area,12,Other,4,Other,2690,4,2.0,185.0
Built-up  Area,0,Other,2,Other,1340,2,2.0,65.0
Plot  Area,9,Other,4,Other,2940,3,2.0,2250.0
Plot  Area,0,Other,6,Other,2400,6,1.0,400.0
Plot  Area,0,Whitefield,3,Other,2324,2,2.0,26.73
Super built-up  Area,12,Yelahanka,2,Other,1260,2,2.0,59.2
Super built-up  Area,2,Other,3,Other,2254,3,2.0,153.0
Super built-up  Area,0,Old Madras Road,3,Other,2990,5,1.0,210.0
Built-up  Area,0,Other,4,Other,1800,5,1.0,250.0
Built-up  Area,0,JP Nagar,2,Other,820,2,1.0,45.0
Super built-up  Area,0,Electronic City,2,Other,1296,2,2.0,65.0
Super built-up  Area,0,Uttarahalli,2,Other,1190,2,1.0,53.55
Super built-up  Area,12,Whitefield,2,Other,1173,2,1.0,77.0
Plot  Area,12,Other,3,Other,1800,3,2.0,90.0
Built-up  Area,0,Yelahanka,2,Other,1102,2,0.0,52.0
Super built-up  Area,0,Sarjapur,2,Other,913,2,1.0,36.0
Super built-up  Area,4,Hormavu,3,Other,1176,2,1.0,35.27
Built-up  Area,0,Other,3,Other,1620,3,2.0,65.0
Super built-up  Area,0,Other,3,Other,2968,3,2.0,225.0
Super built-up  Area,12,Yelahanka,2,Other,1519,2,3.0,65.0
Super built-up  Area,0,Other,2,Other,1345,2,2.0,106.0
Super built-up  Area,12,Other,3,Other,1594,3,2.0,99.0
Super built-up  Area,0,Other,2,Other,1250,2,1.0,68.0
Super built-up  Area,0,Haralur Road,2,Other,1056,2,1.0,60.0
Plot  Area,12,Whitefield,3,Other,1200,3,1.0,68.4
Plot  Area,0,Other,2,Other,1290,1,0.0,77.5
Built-up  Area,0,Other,2,Other,1150,2,1.0,48.0
Super built-up  Area,0,Other,2,Other,1464,2,1.0,145.0
Plot  Area,0,Other,4,Other,1200,2,1.0,36.0
Built-up  Area,0,Other,2,Other,861,2,0.0,36.5
Super built-up  Area,0,Other,2,Other,1047,2,1.0,82.62
Plot  Area,0,Other,2,Other,1200,2,0.0,75.0
Plot  Area,0,Other,10,Other,1200,10,2.0,190.0
Built-up  Area,0,Other,2,Other,1065,2,1.0,45.0
Built-up  Area,0,Rajaji Nagar,3,PhestOn,2300,3,3.0,369.0
Super built-up  Area,0,Ramamurthy Nagar,2,Other,1000,2,1.0,62.0
Super built-up  Area,0,Other,3,Other,1682,3,1.0,113.0
Super built-up  Area,0,Harlur,3,Other,1756,3,2.0,131.0
Plot  Area,0,Other,5,Other,4000,4,2.0,1000.0
Super built-up  Area,0,Other,4,Other,1050,4,2.0,90.0
Super built-up  Area,0,Other,2,Other,1238,2,1.0,67.32
Super built-up  Area,0,Other,2,Other,814,2,1.0,42.0
Built-up  Area,0,Other,2,Other,1145,2,1.0,46.5
Super built-up  Area,0,Varthur,2,Other,965,2,1.0,34.0
Super built-up  Area,0,Other,2,Other,750,2,1.0,36.0
Built-up  Area,0,Banashankari,3,Other,1300,2,2.0,55.0
Super built-up  Area,5,Other,3,Other,1590,3,3.0,131.0
Super built-up  Area,8,Begur Road,1,Other,644,1,1.0,40.0
Super built-up  Area,3,Whitefield,2,Other,982,2,1.0,37.0
Super built-up  Area,0,Other,2,Other,1260,2,2.0,100.0
Super built-up  Area,0,Other,3,Other,1555,3,2.0,75.17
Built-up  Area,0,Other,4,Other,2500,4,1.0,450.0
Super built-up  Area,8,Kaggadasapura,2,Other,1225,2,2.0,48.0
Super built-up  Area,0,Electronics City Phase 1,2,Other,1085,2,1.0,46.0
Super built-up  Area,0,Rajaji Nagar,3,Other,1640,3,2.0,220.0
Built-up  Area,8,Thanisandra,3,Bhmesy ,1595,3,1.0,110.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1196,2,2.0,40.44
Super built-up  Area,3,Yelahanka,3,Other,1859,3,1.0,108.0
Super built-up  Area,9,Other,2,Other,1079,2,1.0,60.0
Built-up  Area,0,Other,2,Other,550,1,1.0,27.0
Super built-up  Area,0,Whitefield,2,Other,1118,2,1.0,42.0
Super built-up  Area,0,Other,2,Other,1198,2,2.0,60.0
Super built-up  Area,6,Chandapura,3,Other,1162,2,2.0,30.215
Super built-up  Area,0,Thigalarapalya,3,Prtanha,1830,4,2.0,135.0
Super built-up  Area,10,Other,2,Other,1160,2,1.0,59.0
Super built-up  Area,0,Other,3,Other,1485,2,1.0,156.0
Super built-up  Area,0,Other,3,Other,2070,3,3.0,135.0
Plot  Area,0,Other,6,Other,750,4,1.0,150.0
Built-up  Area,3,Other,2,Other,957,2,0.0,52.5
Plot  Area,0,Other,5,Other,2400,4,1.0,310.0
Super built-up  Area,12,Bannerghatta Road,2,Other,1268,2,1.0,69.0
Super built-up  Area,0,Bannerghatta Road,3,SNity S,1450,2,2.0,87.0
Built-up  Area,0,Other,3,Other,1600,2,2.0,75.0
Super built-up  Area,0,Uttarahalli,3,Aklia R,1330,2,1.0,57.0
Super built-up  Area,0,Jakkur,3,Other,1355,2,2.0,65.0
Super built-up  Area,0,Other,2,Other,1272,2,2.0,51.5
Super built-up  Area,0,Other,2,Other,1100,2,1.0,38.49
Super built-up  Area,0,Sarjapur  Road,3,Other,1220,3,2.0,58.0
Super built-up  Area,0,Other,2,Other,1075,2,1.0,46.76
Super built-up  Area,0,Other,2,Other,800,2,1.0,55.0
Super built-up  Area,0,Other,2,Other,995,2,1.0,34.82
Built-up  Area,0,Other,2,Other,900,1,1.0,44.0
Super built-up  Area,0,Haralur Road,2,Other,1140,2,1.0,42.0
Super built-up  Area,0,Other,3,Other,1480,2,2.0,125.0
Super built-up  Area,5,Other,3,Other,1710,2,2.0,90.63
Super built-up  Area,12,Other,3,Other,2106,3,3.0,148.0
Plot  Area,0,Yeshwanthpur,9,Other,2400,6,2.0,270.0
Plot  Area,0,Other,3,Other,3800,2,2.0,130.0
Plot  Area,0,Other,3,Other,800,3,2.0,120.0
Super built-up  Area,0,Marathahalli,2,Other,1602,2,2.0,104.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1660,2,2.0,116.0
Super built-up  Area,0,Electronic City Phase II,3,Other,1549,3,2.0,80.0
Super built-up  Area,3,Marathahalli,1,Other,700,1,1.0,38.0
Super built-up  Area,12,Other,2,Soresea,1012,2,1.0,64.0
Super built-up  Area,12,Marathahalli,3,Other,1469,3,1.0,89.0
Super built-up  Area,8,Whitefield,2,Prtates,1216,2,1.0,69.0
Super built-up  Area,0,Electronic City Phase II,2,Other,1065,2,1.0,56.13
Super built-up  Area,3,Thanisandra,3,Bhe 2ko,1411,3,1.0,93.15
Super built-up  Area,0,Other,2,Other,1400,2,2.0,57.5
Super built-up  Area,0,Other,3,Other,1250,3,2.0,29.0
Super built-up  Area,0,Haralur Road,2,Other,1245,2,3.0,62.0
Super built-up  Area,0,Other,2,Other,1115,2,1.0,50.0
Super built-up  Area,0,Other,2,Other,1000,2,1.0,35.0
Super built-up  Area,3,Panathur,3,Other,1580,3,0.0,71.89
Super built-up  Area,0,Other,3,Other,1800,3,2.0,90.0
Super built-up  Area,0,Other,2,Other,1500,2,2.0,130.0
Super built-up  Area,9,Chandapura,1,SunceEs,645,1,1.0,16.45
Super built-up  Area,6,Other,3,Other,1275,3,2.0,44.0
Super built-up  Area,0,Kasavanhalli,3,Other,1494,3,2.0,82.0
Super built-up  Area,0,Other,3,Other,1949,3,2.0,129.0
Super built-up  Area,0,Other,2,Other,1020,2,1.0,46.5
Super built-up  Area,0,Mysore Road,2,Other,883,2,1.0,45.0
Built-up  Area,0,Other,4,Other,3200,4,2.0,280.0
Plot  Area,0,Uttarahalli,6,Other,1680,6,1.0,125.0
Plot  Area,0,Mysore Road,10+,Other,2232,6,2.0,300.0
Super built-up  Area,0,Other,3,Other,2010,3,3.0,125.0
Super built-up  Area,0,Yeshwanthpur,2,IBityin,1240,2,2.0,80.0
Super built-up  Area,0,Other,2,Other,1213,2,1.0,63.0
Super built-up  Area,0,Other,3,Other,1835,3,3.0,88.0
Plot  Area,0,Other,9,Other,1800,10,3.0,185.0
Super built-up  Area,0,Bannerghatta Road,4,Other,2932,5,2.0,195.0
Built-up  Area,0,Whitefield,4,Other,3425,5,2.0,250.0
Built-up  Area,0,Other,2,Other,945,2,0.0,45.0
Super built-up  Area,0,Other,3,Other,1504,2,2.0,100.0
Super built-up  Area,0,Other,3,RothaVa,1569,3,2.0,150.0
Super built-up  Area,0,Harlur,3,Prncyrn,1755,3,2.0,130.0
Super built-up  Area,0,Other,3,Other,1760,3,2.0,140.0
Super built-up  Area,5,Hoodi,2,Other,1240,2,3.0,43.94
Super built-up  Area,12,Electronics City Phase 1,3,Other,1450,3,2.0,72.54
Super built-up  Area,0,Other,2,Other,1000,2,0.0,48.0
Plot  Area,0,Other,1,Other,3820,1,1.0,306.0
Super built-up  Area,0,Other,5,Other,2000,4,2.0,145.0
Super built-up  Area,0,Other,2,Other,1215,2,2.0,59.0
Super built-up  Area,0,Other,3,Other,1330,3,3.0,73.5
Super built-up  Area,8,Raja Rajeshwari Nagar,2,Other,1178,2,1.0,75.0
Plot  Area,8,Hulimavu,4,Other,1500,4,3.0,192.0
Super built-up  Area,0,Other,2,Other,2040,2,2.0,59.0
Super built-up  Area,3,Bellandur,3,Other,2000,3,2.0,85.0
Super built-up  Area,5,Other,3,Other,1602,2,1.0,165.0
Plot  Area,0,Other,4,Other,1200,4,1.0,130.0
Super built-up  Area,0,Other,2,Other,1194,2,2.0,46.0
Built-up  Area,0,Other,3,Other,1800,3,1.0,220.0
Plot  Area,0,Other,3,Other,2400,2,1.0,152.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1700,3,3.0,108.0
Built-up  Area,0,Jigani,3,Other,1200,3,2.0,65.0
Plot  Area,0,Other,3,Other,1500,3,0.0,72.0
Plot  Area,0,Other,3,Other,1240,3,2.0,165.0
Built-up  Area,0,Whitefield,3,Other,3000,3,2.0,400.0
Built-up  Area,0,Kanakpura Road,3,Other,1737,3,3.0,85.0
Plot  Area,0,TC Palaya,2,Other,900,2,0.0,55.0
Built-up  Area,0,Other,3,Other,1280,2,1.0,48.0
Super built-up  Area,0,Other,2,Other,1560,2,2.0,85.0
Super built-up  Area,0,Other,2,Other,883,2,1.0,44.0
Super built-up  Area,0,Other,2,Other,750,2,1.0,33.0
Super built-up  Area,0,Other,4,Other,2400,3,3.0,140.0
Super built-up  Area,0,Other,2,Other,900,2,1.0,45.0
Super built-up  Area,0,Hormavu,2,Other,1030,2,1.0,49.35
Super built-up  Area,0,7th Phase JP Nagar,3,Other,1850,3,2.0,155.0
Built-up  Area,0,Hennur Road,3,Other,1831,3,1.0,110.0
Super built-up  Area,0,Other,2,Other,1095,2,1.0,38.33
Built-up  Area,7,Electronic City Phase II,3,Sryalan,1320,2,1.0,38.13
Super built-up  Area,0,Sarjapur  Road,3,Other,1272,2,0.0,40.72
Built-up  Area,0,7th Phase JP Nagar,2,Other,1000,2,1.0,61.0
Super built-up  Area,0,Budigere,3,PrityTr,1820,3,2.0,85.4
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,41.0
Plot  Area,5,TC Palaya,3,Other,1500,3,0.0,83.0
Super built-up  Area,0,Other,1,Other,925,1,0.0,40.7
Super built-up  Area,12,Electronic City,2,Other,1140,2,1.0,70.93
Super built-up  Area,10,Other,2,Other,1145,2,2.0,58.4
Super built-up  Area,0,Other,3,Other,1862,3,3.0,120.0
Super built-up  Area,0,Other,2,Other,947,2,2.0,43.0
Plot  Area,0,Other,3,Other,700,3,2.0,195.0
Super built-up  Area,0,Other,2,Other,1120,2,2.0,40.0
Built-up  Area,0,Other,3,Other,2700,3,3.0,200.0
Super built-up  Area,0,Kaggadasapura,3,Other,1805,2,2.0,75.0
Super built-up  Area,0,Other,2,Other,1100,2,3.0,93.0
Plot  Area,0,Other,4,Other,1355,3,0.0,135.0
Built-up  Area,12,Other,3,Other,1677,3,2.0,98.0
Built-up  Area,0,Other,8,Other,2500,8,3.0,95.0
Super built-up  Area,0,Uttarahalli,3,Other,1560,3,3.0,74.0
Super built-up  Area,0,Other,3,Other,2060,3,2.0,150.0
Super built-up  Area,0,Koramangala,3,Other,1716,2,0.0,115.0
Super built-up  Area,0,Harlur,3,Other,1864,3,1.0,140.0
Built-up  Area,0,Electronics City Phase 1,1,Other,638,1,1.0,32.0
Plot  Area,0,Other,9,Other,1200,7,3.0,95.0
Super built-up  Area,0,Other,8,Other,1150,9,2.0,170.0
Super built-up  Area,12,Chandapura,2,Other,937,2,1.0,30.0
Built-up  Area,0,Other,3,Other,1490,2,1.0,115.0
Super built-up  Area,0,Other,4,Other,4856,5,3.0,410.0
Plot  Area,0,Whitefield,4,Other,4003,6,1.0,525.0
Super built-up  Area,5,Whitefield,2,Other,1100,2,1.0,37.0
Super built-up  Area,0,Thigalarapalya,2,Other,1000,2,2.0,48.53
Super built-up  Area,0,Other,2,Other,1060,2,1.0,37.0
Super built-up  Area,0,Other,2,Other,1047,2,1.0,91.0
Built-up  Area,0,Other,2,Other,1200,2,2.0,80.0
Super built-up  Area,0,Akshaya Nagar,3,Other,1420,2,2.0,75.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1539,3,2.0,85.0
Super built-up  Area,0,Other,3,Other,1550,3,1.0,59.0
Super built-up  Area,0,Kasavanhalli,3,Other,1555,3,3.0,82.0
Plot  Area,0,Other,7,Other,600,6,2.0,138.0
Super built-up  Area,0,Other,3,Other,1553,3,3.0,68.0
Super built-up  Area,0,Electronic City Phase II,2,Other,920,2,2.0,26.0
Super built-up  Area,0,Other,3,Other,1740,3,3.0,120.0
Super built-up  Area,0,Other,3,Other,1855,3,2.0,145.0
Super built-up  Area,3,Other,3,Other,1724,3,1.0,146.0
Super built-up  Area,0,Other,2,Other,1020,2,2.0,60.0
Plot  Area,0,Other,6,Other,1000,4,2.0,150.0
Super built-up  Area,0,Uttarahalli,3,Other,1250,2,1.0,50.0
Super built-up  Area,0,Other,3,Other,1450,3,2.0,75.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,80.0
Built-up  Area,0,Haralur Road,2,Other,1140,2,2.0,58.0
Plot  Area,0,Other,5,Other,900,5,2.0,110.0
Super built-up  Area,0,Other,1,Other,550,1,1.0,16.0
Super built-up  Area,10,Bannerghatta Road,3,Other,1450,3,1.0,44.0
Plot  Area,0,Jigani,3,Other,1500,2,2.0,25.49
Super built-up  Area,12,Kanakpura Road,2,PrarePa,700,2,1.0,35.07
Plot  Area,7,Whitefield,3,Other,1200,3,1.0,56.0
Super built-up  Area,0,Yelahanka,2,Other,1050,2,1.0,45.0
Super built-up  Area,0,Other,3,Other,1600,3,3.0,69.0
Super built-up  Area,0,Bannerghatta Road,3,Other,1625,2,3.0,75.0
Super built-up  Area,0,Other,2,Other,1492,2,2.0,65.0
Super built-up  Area,12,Whitefield,4,Prtates,2856,5,0.0,157.5
Super built-up  Area,0,Sarjapur  Road,3,Other,1489,2,3.0,82.0
Super built-up  Area,0,Other,3,Other,1560,2,2.0,62.38
Super built-up  Area,0,Haralur Road,2,Other,1140,2,2.0,42.0
Super built-up  Area,0,Other,3,Other,1431,3,2.0,65.0
Super built-up  Area,0,Other,3,Other,1682,3,1.0,114.0
Super built-up  Area,2,Panathur,2,Other,1198,2,1.0,86.26
Plot  Area,5,Other,3,Other,3664,3,2.0,325.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1550,2,2.0,69.75
Super built-up  Area,0,Other,2,Other,1026,2,1.0,45.0
Built-up  Area,0,Hennur,3,Other,1260,2,2.0,52.0
Plot  Area,0,Other,2,Other,690,2,0.0,42.0
Super built-up  Area,0,Sarjapur  Road,1,Other,539,1,1.0,45.0
Built-up  Area,0,Other,4,Other,1200,4,1.0,85.0
Built-up  Area,0,Other,3,Other,2400,3,3.0,120.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,79.55
Plot  Area,0,Other,4,Other,2500,5,2.0,350.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1186,2,2.0,40.0
Super built-up  Area,0,Thanisandra,2,Other,1039,2,2.0,39.5
Plot  Area,0,Other,4,Other,1500,5,3.0,233.0
Plot  Area,0,Other,5,Other,1500,4,1.0,100.0
Super built-up  Area,0,Malleshwaram,3,Other,2520,3,2.0,150.0
Built-up  Area,0,Other,2,Other,1225,2,2.0,66.5
Built-up  Area,0,Other,2,Other,1350,2,2.0,72.0
Super built-up  Area,0,Other,2,Other,1030,2,2.0,300.0
Built-up  Area,0,Whitefield,3,Other,1550,2,2.0,49.6
Super built-up  Area,0,Hoodi,3,Other,1490,3,2.0,79.0
Super built-up  Area,0,Other,3,Other,1520,3,2.0,111.0
Plot  Area,0,Whitefield,4,Other,4100,4,2.0,550.0
Built-up  Area,0,Other,3,Other,1391,2,3.0,64.5
Super built-up  Area,0,Rachenahalli,2,Other,1200,2,2.0,50.0
Plot  Area,0,Other,4,Other,1200,4,2.0,86.0
Plot  Area,0,Other,5,Other,2500,6,3.0,500.0
Super built-up  Area,0,Yelahanka,2,Other,1322,2,2.0,80.0
Super built-up  Area,12,Whitefield,3,Other,2173,3,2.0,128.0
Super built-up  Area,0,Sarjapur  Road,2,Other,1200,2,2.0,75.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,47.0
Super built-up  Area,0,Mysore Road,2,Other,1170,2,2.0,65.0
Super built-up  Area,12,Other,2,Other,1125,2,2.0,45.56
Super built-up  Area,5,Other,1,Other,698,1,0.0,28.57
Super built-up  Area,0,Other,2,Other,1250,2,2.0,90.0
Super built-up  Area,12,Chandapura,2,Other,1025,2,2.0,27.68
Super built-up  Area,0,Yelahanka,3,Other,1075,2,2.0,36.0
Super built-up  Area,0,Other,3,Other,1900,2,2.0,190.0
Built-up  Area,0,Whitefield,3,Other,1435,3,2.0,45.0
Super built-up  Area,12,Electronics City Phase 1,2,Other,1175,2,2.0,64.98
Super built-up  Area,0,Other,3,Other,1464,3,2.0,56.0
Built-up  Area,0,Other,2,Other,900,2,1.0,33.0
Super built-up  Area,0,Electronics City Phase 1,1,Other,585,1,1.0,21.0
Plot  Area,0,Jigani,4,Other,3170,5,2.0,230.0
Super built-up  Area,5,Other,3,Other,1602,2,1.0,170.0
Super built-up  Area,0,Thanisandra,2,MenueNo,1220,2,2.0,42.0
Super built-up  Area,0,Rajaji Nagar,3,PhestOn,2500,3,3.0,350.0
Super built-up  Area,0,Sarjapur  Road,3,Adeatlm,2145,3,3.0,180.0
Super built-up  Area,0,Bannerghatta Road,2,SNity S,960,2,3.0,58.0
Super built-up  Area,0,Other,1,Other,907,1,1.0,38.0
Super built-up  Area,0,Old Madras Road,2,Other,1210,2,1.0,74.0
Plot  Area,0,Other,4,Other,900,4,1.0,150.0
Super built-up  Area,0,Other,2,Other,1230,2,2.0,70.0
Super built-up  Area,0,Other,3,Other,1350,2,1.0,75.0
Super built-up  Area,0,Other,2,Other,1150,2,2.0,58.0
Super built-up  Area,4,Sarjapur,3,Other,1404,2,0.0,53.35
Super built-up  Area,0,Other,2,Other,1050,2,3.0,48.0
Plot  Area,0,Kothanur,8,Other,1020,10,0.0,155.0
Super built-up  Area,0,Yelahanka,2,Other,1285,2,2.0,56.0
Super built-up  Area,0,Hormavu,2,Other,1018,2,1.0,50.8
Plot  Area,0,Other,3,Other,1200,3,2.0,57.0
Super built-up  Area,0,Sarjapur  Road,2,Other,1115,2,2.0,50.0
